TRE_CN,PREV_TRE_CN,PLT_CN,STATECD,SUBPTYP,SPCD,STATUSCD,DIA,HT,ACTUALHT,CR,STANDING_DEAD_CD,DIAHTCD,CULL,ROUGHCULL,CULLFORM,CULLMSTOP,DECAYCD,TREECLCD,HTDMP,WDLDSTEM,STDORGCD,SITREE,BALIVE,VOLTSGRS,VOLTSGRS_BARK,VOLTSSND,VOLTSSND_BARK,VOLCFGRS_STUMP,VOLCFGRS_STUMP_BARK,VOLCFSND_STUMP,VOLCFSND_STUMP_BARK,VOLCFGRS,VOLCFGRS_BARK,VOLCFGRS_TOP,VOLCFGRS_TOP_BARK,VOLCFSND,VOLCFSND_BARK,VOLCFSND_TOP,VOLCFSND_TOP_BARK,VOLCFNET,VOLCFNET_BARK,VOLCSGRS,VOLCSGRS_BARK,VOLCSSND,VOLCSSND_BARK,VOLCSNET,VOLCSNET_BARK,VOLBFGRS,VOLBFNET,VOLBSGRS,VOLBSNET,DRYBIO_STEM,DRYBIO_STEM_BARK,DRYBIO_STUMP,DRYBIO_STUMP_BARK,DRYBIO_BOLE,DRYBIO_BOLE_BARK,DRYBIO_BRANCH,DRYBIO_FOLIAGE,DRYBIO_AG,DRYBIO_BG,CARBON_AG,CARBON_BG,DRYBIO_SAWLOG,DRYBIO_SAWLOG_BARK,CREATED_DATE,MODIFIED_DATE
225028800010661,62272140010538,145006151010661,44,,316,1,1.9,21,21,50,,1,,,,,,2,,,0,,185.6304,0.212425,0.049391,0.212425,0.049391,,,,,,,,,,,,,,,,,,,,,,,,,8.140102,1.816789,,,,,0.41073,0.858065,10.367622,2.189403,5.038664,1.06405,,,2025-03-20 06:51:27,
225028801010661,62272142010538,145006151010661,44,,316,1,1.5,18,18,45,,1,,,,,,2,,,0,,185.6304,0.116917,0.03101,0.116917,0.03101,,,,,,,,,,,,,,,,,,,,,,,,,4.62266,1.102566,,,,,0.183352,0.570579,5.908577,1.309486,2.871568,0.63641,,,2025-03-20 06:51:27,
225028805010661,62272150010538,145006151010661,44,,126,1,12.7,68,68,25,,1,1,5,,,,2,,,0,,185.6304,24.043034,6.41685,23.802604,6.41685,0.9102,0.242923,0.901098,0.242923,22.838288,6.095315,0.294546,0.078611,22.609905,6.095315,0.2916,0.078611,21.467991,5.790549,20.755666,5.539484,20.54811,5.539484,19.510326,5.26251,87.196187,82.836378,,,830.81927,123.222585,31.452422,4.664852,789.188663,117.04816,236.764504,31.8466,1190.806359,204.337087,568.014633,97.46879,717.222604,106.374547,2025-03-20 06:51:27,
225028806010661,62272152010538,145006151010661,44,,802,1,5.9,36,36,40,,1,1,4,,,,2,,,0,,185.6304,3.124255,0.839734,3.093012,0.839734,0.307792,0.082728,0.304715,0.082728,2.309046,0.620623,0.507416,0.136383,2.285956,0.620623,0.502342,0.136383,2.193594,0.595798,,,,,,,,,,,127.246993,20.471688,12.536003,2.016811,94.044575,15.130033,15.846154,9.43866,163.564835,30.461455,81.128158,15.108882,,,2025-03-20 06:51:27,
225028810010661,62272160010538,145006151010661,44,,126,1,14.3,76,76,30,,1,1,6,,,,2,,,0,,185.6304,34.067428,8.759559,33.726753,8.759559,1.162541,0.298918,1.150916,0.298918,32.633223,8.390791,0.271664,0.069851,32.306891,8.390791,0.268947,0.069851,30.348897,7.887343,30.703428,7.894594,30.396393,7.894594,28.554188,7.420918,127.723084,120.059699,,,1197.04619,169.831061,40.848866,5.795437,1146.651731,162.681341,323.079642,37.611756,1689.956893,289.588309,806.109438,138.133624,1078.843441,153.061033,2025-03-20 06:51:27,
225028811010661,62272162010538,145006151010661,44,,802,1,8.2,55,55,45,,1,1,6,,,,2,,,0,,185.6304,8.918807,1.537,8.829619,1.537,0.614813,0.105952,0.608665,0.105952,7.756368,1.336674,0.547626,0.094374,7.678804,1.336674,0.54215,0.094374,7.213422,1.256474,,,,,,,,,,,325.610903,47.423479,22.445812,3.269112,283.172169,41.242505,55.754503,14.103293,428.788885,92.224009,212.679287,45.743108,,,2025-03-20 06:51:27,
225028812010661,62272164010538,145006151010661,44,,802,1,8.2,53,53,45,,1,1,6,,,,2,,,0,,185.6304,8.601869,1.554679,8.51585,1.554679,0.611822,0.110579,0.605703,0.110579,7.464964,1.349198,0.525083,0.094902,7.390315,1.349198,0.519832,0.094902,6.942417,1.268246,,,,,,,,,,,313.612339,45.666488,22.306179,3.248102,272.162354,39.630771,54.497854,14.482649,413.776681,88.759194,205.233234,44.02456,,,2025-03-20 06:51:27,
225028813010661,62272214010538,145006151010661,44,,126,1,13.7,62,62,30,,1,1,6,,,,2,,,0,,185.6304,25.723059,6.851483,25.465829,6.851483,1.061393,0.282708,1.050779,0.282708,24.427086,6.506293,0.23458,0.062482,24.182815,6.506293,0.232235,0.062482,22.71719,6.115915,22.762748,6.062987,22.53512,6.062987,21.169355,5.699208,102.294697,96.157015,,,853.970128,129.044919,35.236796,5.324694,810.945588,122.543405,321.462924,42.420947,1304.477971,217.385817,622.235992,103.693035,755.691862,114.193918,2025-03-20 06:51:27,
225028814010661,62272166010538,145006151010661,44,,802,1,7.3,40,40,25,,1,1,6,,,,2,,,0,,185.6304,5.221739,1.307929,5.169522,1.307929,0.470851,0.117938,0.466142,0.117938,4.309577,1.079453,0.441312,0.110539,4.266481,1.079453,0.436898,0.110539,4.007906,1.014686,,,,,,,,,,,197.324493,29.73903,17.793002,2.681606,162.854751,24.544051,32.292387,13.811652,259.355911,52.957592,128.640532,26.266966,,,2025-03-20 06:51:27,
225028815010661,62272168010538,145006151010661,44,,129,1,14.1,74,74,45,,1,1,6,,,,2,,,0,,185.6304,33.843567,4.080525,33.505131,4.080525,1.215722,0.14658,1.203565,0.14658,32.326234,3.89758,0.301611,0.036365,32.002971,3.89758,0.298595,0.036365,30.063397,3.663725,30.184675,3.639372,29.882829,3.639372,28.071748,3.42101,142.110938,130.742063,,,754.286252,118.596624,27.095333,4.260206,720.468782,113.279494,200.231611,33.109994,1073.114486,231.235984,544.069044,117.236644,672.738947,105.77492,2025-03-20 06:51:27,
