CN,STATECD,SUBP,SUBPTYP,PLT_CN,CONDID,PREV_PLT_CN,PREVCOND,SUBPTYP_PROP_CHNG,CREATED_DATE,MODIFIED_DATE
1815746175290487,44,4,2,145006071010661,1,55945043010538,2,1.0,2025-03-20 06:51:34,
1815746176290487,44,1,1,145006073010661,1,164365981010661,1,1.0,2025-03-20 06:51:34,
1815746177290487,44,2,1,145006073010661,1,164365981010661,1,1.0,2025-03-20 06:51:34,
1815746178290487,44,3,1,145006073010661,1,164365981010661,1,1.0,2025-03-20 06:51:34,
1815746179290487,44,4,1,145006073010661,1,164365981010661,1,1.0,2025-03-20 06:51:34,
1815746180290487,44,1,2,145006073010661,1,164365981010661,1,1.0,2025-03-20 06:51:34,
1815746181290487,44,2,2,145006073010661,1,164365981010661,1,1.0,2025-03-20 06:51:34,
1815746182290487,44,3,2,145006073010661,1,164365981010661,1,1.0,2025-03-20 06:51:34,
1815746183290487,44,4,2,145006073010661,1,164365981010661,1,1.0,2025-03-20 06:51:34,
1815746184290487,44,1,1,145006075010661,1,55945058010538,1,1.0,2025-03-20 06:51:34,
1815746185290487,44,2,1,145006075010661,1,55945058010538,1,1.0,2025-03-20 06:51:34,
1815746186290487,44,3,1,145006075010661,1,55945058010538,1,1.0,2025-03-20 06:51:34,
1815746187290487,44,4,1,145006075010661,1,55945058010538,1,1.0,2025-03-20 06:51:34,
1815746188290487,44,1,2,145006075010661,1,55945058010538,1,1.0,2025-03-20 06:51:34,
1815746189290487,44,2,2,145006075010661,1,55945058010538,1,1.0,2025-03-20 06:51:34,
1815746190290487,44,3,2,145006075010661,1,55945058010538,1,1.0,2025-03-20 06:51:34,
1815746191290487,44,4,2,145006075010661,1,55945058010538,1,1.0,2025-03-20 06:51:34,
1815746192290487,44,1,1,145006077010661,1,164365978010661,1,1.0,2025-03-20 06:51:34,
1815746193290487,44,2,1,145006077010661,1,164365978010661,1,1.0,2025-03-20 06:51:34,
1815746194290487,44,3,1,145006077010661,1,164365978010661,1,1.0,2025-03-20 06:51:34,
1815746195290487,44,4,1,145006077010661,1,164365978010661,1,1.0,2025-03-20 06:51:34,
1815746196290487,44,1,2,145006077010661,1,164365978010661,1,1.0,2025-03-20 06:51:34,
1815746197290487,44,2,2,145006077010661,1,164365978010661,1,1.0,2025-03-20 06:51:34,
1815746198290487,44,3,2,145006077010661,1,164365978010661,1,1.0,2025-03-20 06:51:34,
1815746199290487,44,4,2,145006077010661,1,164365978010661,1,1.0,2025-03-20 06:51:34,
1815746200290487,44,1,1,145006079010661,1,62271214010538,1,1.0,2025-03-20 06:51:34,
1815746201290487,44,2,1,145006079010661,1,62271214010538,1,1.0,2025-03-20 06:51:34,
1815746202290487,44,3,1,145006079010661,1,62271214010538,1,1.0,2025-03-20 06:51:34,
1815746203290487,44,4,1,145006079010661,1,62271214010538,1,1.0,2025-03-20 06:51:34,
1815746204290487,44,1,2,145006079010661,1,62271214010538,1,1.0,2025-03-20 06:51:34,
1815776921290487,44,2,1,511305836126144,1,14527780020004,1,1.0,2025-03-20 07:06:45,
1815776922290487,44,3,1,511305836126144,1,14527780020004,1,1.0,2025-03-20 07:06:45,
1815776923290487,44,4,1,511305836126144,2,14527780020004,2,1.0,2025-03-20 07:06:45,
1815776924290487,44,1,2,511305836126144,1,14527780020004,1,1.0,2025-03-20 07:06:45,
1815776925290487,44,2,2,511305836126144,1,14527780020004,1,1.0,2025-03-20 07:06:45,
1815776926290487,44,3,2,511305836126144,1,14527780020004,1,1.0,2025-03-20 07:06:45,
1815776927290487,44,4,2,511305836126144,2,14527780020004,2,1.0,2025-03-20 07:06:45,
1815776928290487,44,1,1,511305837126144,1,14527774020004,1,1.0,2025-03-20 07:06:45,
1815776929290487,44,2,1,511305837126144,1,14527774020004,1,1.0,2025-03-20 07:06:45,
1815776930290487,44,3,1,511305837126144,1,14527774020004,1,1.0,2025-03-20 07:06:45,
1815776931290487,44,4,1,511305837126144,1,14527774020004,1,1.0,2025-03-20 07:06:45,
